Mã tài sản,Loại,Địa chỉ,Trạng thái Kho,Trạng thái Niêm yết,POS,Người tạo,Thời gian tạo,Người quản lý tài sản,Người duyệt LV1 (Giám đốc Pos),Thời gian duyệt,Người duyệt lv2 (nhân viên marketing duyệt tin đăng),Thời gian duyệt đăng tin,Thời gian hết hạn tin đăng,Người cập nhật tài sản,Thời gian đề xuất,Người duyệt cập nhật tài sản,Thời gian duyệt cập nhật tài sản,Người đề xuất Gỡ tin đăng,Thời gian gửi đề xuất gỡ tin,Người duyệt Gỡ tin,Thời gian duyệt gỡ tin,Người đề xuất Gỡ nguồn,Thời gian đề xuất Gỡ nguồn,Người duyệt đề xuất Gỡ nguồn,Thời gian duyệt đề xuất Gỡ nguồn
"LS-00001","Bán","12 Nguyễn Bình, P.Tân Thuận Đông, Q.7, TP.HCM","Đã gỡ nguồn","Đã gỡ nguồn","POS Q1","Nguyễn Văn Hùng","15:00 10/04/2026","","","","","","","","","","","","","","","","","",""
"LS-00002","Thuê","45 Cộng Hòa, P.13, Tân Bình, TP.HCM","Đã gỡ nguồn","Đã gỡ nguồn","POS Q1","Nguyễn Văn Hùng","16:00 05/05/2026","","Hồng Bảo Quân","20:11 11/05/2026","Nguyễn Thị MKT","20:23 11/05/2026","20:23 09/08/2026","","","","","","20:41 11/05/2026","Nguyễn Thị MKT","20:43 11/05/2026","Admin iHouzz","20:45 11/05/2026","Hồng Bảo Quân","22:58 11/05/2026"
"LS-00003","Bán","88 Lý Thường Kiệt, P.14, Q.10, TP.HCM","Bị từ chối","Khởi tạo","POS Q1","Nguyễn Văn Hùng","17:00 20/04/2026","","","","","","","","","","","","","","","","","",""
"LS-00004","Thuê","22 Trường Chinh, P.12, Tân Bình, TP.HCM","Được duyệt","Chưa niêm yết","POS Q.5","Đinh Việt Anh","15:00 28/04/2026","","Trần Hồng Oanh","18:00 01/05/2026","","","","","","","","Nguyễn Thị MKT","10:14 12/05/2026","","","","","",""
"LS-00005","Bán","10 Hoàng Diệu, P.13, Q.4, TP.HCM","Được đảm bảo","Chưa niêm yết","POS Q.5","Đinh Việt Anh","17:00 29/04/2026","","Trần Hồng Oanh","16:00 02/05/2026","","","","","","","","","","","","","","",""
"LS-00006","Thuê","7 Bạch Đằng, P.24, Bình Thạnh, TP.HCM","Được duyệt","Đang niêm yết","POS Q.5","Đinh Việt Anh","15:00 22/04/2026","","Trần Hồng Oanh","17:00 25/04/2026","Nguyễn Thị MKT","17:00 27/04/2026","17:00 27/07/2026","","","","","","01:53 09/05/2026","","","","","",""
"LS-00007","Bán","101 Phạm Văn Đồng, P.3, Gò Vấp, TP.HCM","Được đảm bảo","Đang niêm yết","POS Q.5","Đinh Việt Anh","16:00 23/04/2026","","Trần Hồng Oanh","18:00 26/04/2026","Nguyễn Thị MKT","11:22 12/05/2026","11:22 10/08/2026","","","","","","","","","","","",""
"LS-00008","Thuê","55 Nguyễn Trọng Tuyển, P.1, Tân Bình, TP.HCM","Được duyệt","Chưa niêm yết","POS Q.5","Đinh Việt Anh","15:00 01/05/2026","","Trần Hồng Oanh","16:00 03/05/2026","","","","","","","","","","","","","","",""
"LS-00009","Bán","200 Lê Văn Sỹ, P.14, Q.3, TP.HCM","Được duyệt","Chưa niêm yết","POS Q1","Trần Thế Tùng","17:00 25/04/2026","","Hồng Bảo Quân","21:00 28/04/2026","Nguyễn Thị MKT","16:00 30/04/2026","16:00 30/07/2026","","","","","","17:00 06/05/2026","","","","","",""
"LS-00010","Thuê","15 Trần Hưng Đạo, P.5, Q.1, TP.HCM","Được đảm bảo","Thẩm định phí","POS Q1","Trần Thế Tùng","18:00 27/04/2026","","Hồng Bảo Quân","17:00 30/04/2026","","","","","","","","","","","","","","",""
