Mã tài sản,Loại,Địa chỉ,Trạng thái Kho,Trạng thái Niêm yết,POS,Người tạo,Ngày tạo
"LS-00001","Bán","12 Nguyễn Bình, P.Tân Thuận Đông, Q.7, TP.HCM","Đã gỡ nguồn","Đã gỡ nguồn","POS Q1","Nguyễn Văn Hùng","10/4/2026"
"LS-00002","Thuê","45 Cộng Hòa, P.13, Tân Bình, TP.HCM","Đã gỡ nguồn","Đã gỡ nguồn","POS Q1","Nguyễn Văn Hùng","5/5/2026"
"LS-00003","Bán","88 Lý Thường Kiệt, P.14, Q.10, TP.HCM","Bị từ chối","Khởi tạo","POS Q1","Nguyễn Văn Hùng","20/4/2026"
"LS-00004","Thuê","22 Trường Chinh, P.12, Tân Bình, TP.HCM","Được duyệt","Chưa niêm yết","POS Q.5","Đinh Việt Anh","28/4/2026"
"LS-00005","Bán","10 Hoàng Diệu, P.13, Q.4, TP.HCM","Được đảm bảo","Chưa niêm yết","POS Q.5","Đinh Việt Anh","29/4/2026"
"LS-00006","Thuê","7 Bạch Đằng, P.24, Bình Thạnh, TP.HCM","Được duyệt","Đang niêm yết","POS Q.5","Đinh Việt Anh","22/4/2026"
"LS-00007","Bán","101 Phạm Văn Đồng, P.3, Gò Vấp, TP.HCM","Được đảm bảo","Đang niêm yết","POS Q.5","Đinh Việt Anh","23/4/2026"
"LS-00008","Thuê","55 Nguyễn Trọng Tuyển, P.1, Tân Bình, TP.HCM","Được duyệt","Chưa niêm yết","POS Q.5","Đinh Việt Anh","1/5/2026"
"LS-00009","Bán","200 Lê Văn Sỹ, P.14, Q.3, TP.HCM","Được duyệt","Chưa niêm yết","POS Q1","Trần Thế Tùng","25/4/2026"
"LS-00010","Thuê","15 Trần Hưng Đạo, P.5, Q.1, TP.HCM","Được đảm bảo","Thẩm định phí","POS Q1","Trần Thế Tùng","27/4/2026"
"LS-00011","Bán","Sunrise City, 17 Nguyễn Hữu Thọ, P.Tân Hưng, Q.7, TP.HCM","Được đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","5/5/2026"
"LS-00012","Thuê","Vinhomes Central Park, 720A Điện Biên Phủ, P.22, Bình Thạnh, TP.HCM","Được duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","2/5/2026"
"LS-00013","Bán","Masteri Thảo Điền, 159 Xa Lộ Hà Nội, P.Thảo Điền, Q.2, TP.HCM","Được đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","26/4/2026"
"LS-00014","Thuê","The Gold View, 346 Bến Vân Đồn, P.1, Q.4, TP.HCM","Được duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","28/4/2026"
"LS-00015","Bán","Saigon Royal, 34 Bến Vân Đồn, P.12, Q.4, TP.HCM","Được duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","3/5/2026"
"LS-00016","Bán","77, đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Chờ duyệt đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","8/5/2026"
"LS-00017","Bán","32, đường Bùi Thị Xuân, Phường 6, Quận 8, TP. Hồ Chí Minh","Bị từ chối","Chưa niêm yết","POS Q1","Lê Đức Tài","8/5/2026"
"LS-00018","Bán","23, đường Võ Thị Sáu, Phường 2, Quận 3, TP. Hồ Chí Minh","Chờ duyệt đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","8/5/2026"
"LS-00019","Thuê","145/25, đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, TP. Hồ Chí Minh","Chờ duyệt đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","9/5/2026"
"LS-00020","Bán","111, đường Võ Văn Kiệt, Thị trấn Cần Thạnh, Huyện Cần Giờ, TP. Hồ Chí Minh","Chờ POS duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","9/5/2026"
"LS-00021","Thuê","145/26, đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, TP. Hồ Chí Minh","Chờ duyệt đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","9/5/2026"
"LS-00022","Bán","12, đường Le Loi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Chờ POS duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","11/5/2026"
"LS-00022","Bán","123, đường Le Loi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Mới","Chưa niêm yết","POS Q1","Lê Đức Tài","15/5/2026"
"LS-00022","","Test","","","","",""
"LS-00023","Bán","789, đường Lê Duẩn, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Chờ POS duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","15/5/2026"
"LS-00024","Bán","25, đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Được đảm bảo","Đang niêm yết","POS Q1","Lê Đức Tài","15/5/2026"
"LS-00025","Thuê","111, đường Bình Long, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh","Được duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","15/5/2026"
